Date,Open,High,Low,Close,Volume
2024-09-18,24.86000061035156,26.14999961853028,24.5,26.09000015258789,77500.0
2024-09-19,25.170000076293945,25.80299949645996,24.43000030517578,25.5,94400.0
2024-09-20,24.5,25.86000061035156,24.0,25.020000457763672,56900.0
2024-09-23,22.424999237060547,24.75,21.76000022888184,24.5,43400.0
2024-09-24,20.0,23.049999237060547,19.549999237060547,22.440000534057617,106500.0
2024-09-25,18.670000076293945,19.882999420166016,18.61000061035156,19.40999984741211,107500.0
2024-09-26,18.5,19.02499961853028,17.510000228881836,18.65999984741211,93900.0
2024-09-27,19.5,20.030000686645508,18.040000915527344,18.559999465942383,40200.0
2024-09-30,21.700000762939453,21.979999542236328,18.775999069213867,19.1299991607666,41300.0
2024-10-01,20.559999465942383,22.5,20.01000022888184,21.1200008392334,44900.0
2024-10-02,21.61000061035156,22.0,20.200000762939453,20.39999961853028,47000.0
2024-10-03,20.600000381469727,21.979999542236328,20.01000022888184,20.01000022888184,16100.0
2024-10-04,21.8700008392334,21.8700008392334,20.40999984741211,21.190000534057617,48100.0
2024-10-07,20.559999465942383,22.06999969482422,19.6200008392334,21.670000076293945,61700.0
2024-10-08,19.540000915527344,20.84000015258789,19.209999084472656,20.84000015258789,22800.0
2024-10-09,18.56999969482422,19.989999771118164,17.65999984741211,19.850000381469727,88100.0
2024-10-10,18.920000076293945,19.0,17.75,18.32999992370605,11700.0
2024-10-11,19.790000915527344,20.979999542236328,18.88999938964844,18.88999938964844,45100.0
2024-10-14,19.299999237060547,20.450000762939453,18.450000762939453,20.0,40100.0
2024-10-15,21.46999931335449,21.57999992370605,18.73200035095215,18.73200035095215,80000.0
2024-10-16,22.489999771118164,23.22100067138672,20.989999771118164,21.200000762939453,76300.0
2024-10-17,22.21999931335449,22.65399932861328,21.440000534057617,22.63999938964844,43100.0
2024-10-18,22.299999237060547,22.93000030517578,21.450000762939453,21.780000686645508,31800.0
2024-10-21,22.31999969482422,22.8700008392334,21.64999961853028,22.01000022888184,57900.0
2024-10-22,24.81999969482422,24.81999969482422,22.100000381469727,22.25,56200.0
2024-10-23,23.61000061035156,24.690000534057617,23.020000457763672,24.690000534057617,41400.0
2024-10-24,24.57999992370605,24.600000381469727,22.905000686645508,23.700000762939453,48200.0
2024-10-25,24.290000915527344,25.479999542236328,23.770000457763672,24.8700008392334,48900.0
2024-10-28,24.0,24.6299991607666,23.420000076293945,24.190000534057617,47000.0
2024-10-29,22.100000381469727,24.40999984741211,21.549999237060547,23.700000762939453,64500.0
2024-10-30,23.540000915527344,24.11000061035156,21.84000015258789,22.51000022888184,47400.0
2024-10-31,22.290000915527344,24.63999938964844,21.799999237060547,23.68000030517578,49800.0
2024-11-01,22.600000381469727,23.270000457763672,21.655000686645508,22.229999542236328,46700.0
2024-11-04,23.040000915527344,24.700000762939453,22.600000381469727,23.100000381469727,49000.0
2024-11-05,25.0,25.43000030517578,22.850000381469727,23.05500030517578,51200.0
2024-11-06,27.170000076293945,27.540000915527344,24.56999969482422,25.920000076293945,49700.0
2024-11-07,28.88999938964844,29.63999938964844,26.9950008392334,27.170000076293945,67100.0
2024-11-08,31.559999465942383,34.89799880981445,27.19700050354004,29.299999237060547,151500.0
2024-11-11,27.90999984741211,32.4900016784668,25.86000061035156,31.549999237060547,99800.0
2024-11-12,37.560001373291016,37.560001373291016,29.277000427246094,30.0,232700.0
2024-11-13,32.61000061035156,38.0,32.20000076293945,36.290000915527344,100100.0
2024-11-14,31.32999992370605,33.97999954223633,30.290000915527344,32.27000045776367,71300.0
2024-11-15,28.700000762939453,32.349998474121094,27.51000022888184,29.790000915527344,50200.0
2024-11-18,28.100000381469727,31.1299991607666,27.959999084472656,29.200000762939453,61200.0
2024-11-19,28.780000686645508,29.614999771118164,27.290000915527344,27.82999992370605,31400.0
2024-11-20,30.32999992370605,31.291000366210938,28.489999771118164,28.489999771118164,53200.0
2024-11-21,31.88999938964844,32.54499816894531,29.43000030517578,30.170000076293945,57100.0
2024-11-22,32.90999984741211,33.09000015258789,31.479999542236328,32.189998626708984,23400.0
2024-11-25,34.220001220703125,35.5,33.5099983215332,33.560001373291016,32200.0
2024-11-26,35.0,35.46099853515625,33.5099983215332,34.20000076293945,51600.0
2024-11-27,36.91999816894531,36.91999816894531,33.20000076293945,33.5,49000.0
2024-11-29,37.20000076293945,38.77999877929688,36.84799957275391,37.58000183105469,27300.0
2024-12-02,37.58000183105469,37.7859992980957,36.680999755859375,37.20000076293945,17300.0
2024-12-03,38.5099983215332,40.68000030517578,36.5099983215332,37.2599983215332,85400.0
2024-12-04,39.130001068115234,41.43999862670898,38.06999969482422,39.02999877929688,73200.0
2024-12-05,35.86000061035156,39.900001525878906,35.5,39.130001068115234,37600.0
2024-12-06,37.84000015258789,37.84000015258789,35.803001403808594,36.36000061035156,45500.0
2024-12-09,38.18999862670898,38.2599983215332,35.65999984741211,37.709999084472656,18700.0
2024-12-10,35.939998626708984,38.56999969482422,34.47999954223633,38.56999969482422,65100.0
2024-12-11,33.33000183105469,35.939998626708984,32.970001220703125,35.939998626708984,65700.0
2024-12-12,33.66999816894531,35.4900016784668,32.470001220703125,33.220001220703125,68200.0
2024-12-13,34.970001220703125,35.060001373291016,32.41999816894531,33.15999984741211,24100.0
2024-12-16,33.88999938964844,36.52999877929688,33.81999969482422,35.130001068115234,38800.0
2024-12-17,31.959999084472656,33.54999923706055,30.0,33.54999923706055,60300.0
2024-12-18,30.030000686645508,32.61000061035156,29.63999938964844,32.47999954223633,35200.0
2024-12-19,29.39999961853028,30.97599983215332,29.1200008392334,30.07999992370605,27200.0
2024-12-20,29.3799991607666,30.459999084472656,28.850000381469727,28.86000061035156,25300.0
2024-12-23,31.770000457763672,32.391998291015625,28.1200008392334,29.3799991607666,18300.0
2024-12-24,31.8700008392334,32.099998474121094,31.400999069213867,32.0,7700.0
2024-12-26,32.88999938964844,33.005001068115234,30.395000457763672,30.395000457763672,15200.0
2024-12-27,31.850000381469727,32.63999938964844,30.850000381469727,32.5,32900.0
2024-12-30,31.06999969482422,31.06999969482422,28.989999771118164,31.030000686645508,24500.0
2024-12-31,31.690000534057617,32.0,30.450000762939453,30.450000762939453,42800.0
2025-01-02,34.720001220703125,34.939998626708984,31.535999298095703,32.029998779296875,18100.0
2025-01-03,33.880001068115234,35.94200134277344,33.5,34.41999816894531,24300.0
2025-01-06,34.59000015258789,34.60499954223633,33.33000183105469,34.599998474121094,17500.0
2025-01-07,33.31999969482422,34.349998474121094,32.441001892089844,34.349998474121094,19900.0
2025-01-08,31.690000534057617,32.58000183105469,31.3700008392334,32.58000183105469,13000.0
2025-01-10,30.8799991607666,31.790000915527344,30.39999961853028,30.68000030517578,24000.0
2025-01-13,30.76000022888184,31.200000762939453,28.81999969482422,30.0,25900.0
2025-01-14,32.0,32.0,30.489999771118164,30.82999992370605,19200.0
2025-01-15,32.689998626708984,33.04999923706055,31.75,32.5,27500.0
2025-01-16,37.86000061035156,37.86000061035156,32.79999923706055,33.90999984741211,27700.0
2025-01-17,37.810001373291016,40.40900039672852,37.07400131225586,37.7400016784668,53500.0
2025-01-21,38.5,39.334999084472656,36.92499923706055,38.869998931884766,48500.0
2025-01-22,38.11000061035156,40.244998931884766,36.959999084472656,38.02999877929688,38200.0
2025-01-23,40.959999084472656,41.0,38.29999923706055,38.31999969482422,39400.0
2025-01-24,42.540000915527344,44.5,39.97299957275391,40.970001220703125,41700.0
2025-01-27,40.459999084472656,42.5,38.2400016784668,42.5,61700.0
2025-01-28,42.790000915527344,42.900001525878906,36.04999923706055,39.540000915527344,54000.0
2025-01-29,44.77999877929688,47.34000015258789,41.52000045776367,42.709999084472656,85900.0
